"","Accession","Gene Symbol","Coverage [%]","# Peptides","# PSMs","# AAs","MW [kDa]","Pfam IDs","Entrez Gene ID","Ensembl Gene ID","WT1","WT2","WT3","KD1","KD2","KD3","TM1","TM2","TM3","C11","C12","C13","NT1","NT2","NT3","KD_FC","KD_logP","TM_FC","TM_logP","C1_FC","C1_logP","NT_FC","NT_logP","Rest_FC","Rest_logP","# Protein Pathway Groups","Biological Process","Cellular Component","Molecular Function","Gene ID","Reactome Pathways","WikiPathways","Uniprotlink","ffatscore","ffatscore2"
"118","P78536","ADAM17",28,19,113,824,93,"Pf00200, Pf13574, Pf16698","6868","ENSG00000151694",8399518.40965042,7734113.00889619,8479148.29424421,13660484.1875386,7095465.1832017,9123222.97399044,17223084.8366923,21247844.4464783,11542893.9375,86941.3515353789,122915.786293073,64488.9480886285,NA,NA,NA,-0.279732584144046,0.376750042780574,-1.02291929182334,1.39734959632475,6.48726679846149,5.36341991426259,NA,NA,-0.118644532767329,0.0540610595710691,23,"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component","signal transduction activity or receptor binding;other molecular function","hsa:6868; O60226; P78536","Collagen degradation; Release of Hh-Np from the secreting cell; Activated NOTCH1 Transmits Signal to the Nucleus; Constitutive Signaling by NOTCH1 PEST Domain Mutants; Constitutive Signaling by NOTCH1 HD Domain Mutants; Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants; Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant; Growth hormone receptor signaling; Nuclear signaling by ERBB4; Signaling by EGFR; TNF signaling; CD163 mediating an anti-inflammatory response; Regulated proteolysis of p75NTR","Alzheimer's disease and miRNA effects; Brain-derived neurotrophic factor (BDNF) signaling pathway; Notch signaling; Copper homeostasis; Ebola virus infection in host; Soluble ACE2-mediated cell entry of SARS-CoV-2; Interactions of natural killer cells in pancreatic cancer; Alzheimer's disease; TROP2 regulatory signaling; Notch signaling pathway","https://rest.uniprot.org/uniprotkb/P78536.fasta",4,4
"119","P05089","ARG1",11,4,5,322,34.7,"Pf00491","383","ENSG00000118520",1083236.88654189,762278.729312022,557553.996718197,2898798.94177154,259241.658431129,231648.035031472,395112.661712721,378408.136118771,122465.3203125,795847.748715731,NA,287652.853227243,349958.305928217,NA,119298.695777913,-0.496274317268123,0.135111869769604,1.42333015599218,1.33114439561977,0.564215985686355,0.383756189278207,1.77146576406947,1.10592743925476,0.456262983919746,0.17117605805043,5,"other metabolic processes;stress response;other biological processes","non-structural extracellular;cytosol;other cytoplasmic organelle;other cell component","other molecular function","A6NEA0; hsa:383; P05089; Q5JWT5; Q5JWT6; Q8TE72; Q9BS50","Neutrophil degranulation; Urea cycle","Spinal cord injury; Amino acid metabolism; IL-18 signaling pathway","https://rest.uniprot.org/uniprotkb/P05089.fasta",5,4
"120","Q6NXT4","SLC30A6",4,2,2,461,51.1,"Pf01545","55676","ENSG00000152683",194613.112559582,125166.299585284,NA,344913.708032005,238360.275222241,636512.349562627,312596.873286179,1227491.02237658,8374403.75,104354.963639851,NA,NA,NA,NA,NA,-1.34651699145206,0.674758513823073,-4.36942733691994,0.387571066264692,0.61557783517728,NA,NA,NA,-3.32789076669256,0.269228667579396,1,"transport;other biological processes","other membranes;ER/Golgi","transporter activity","A5YM45; B7Z901; hsa:55676; Q6NXT4; Q8N5C9; Q96NC3",NA,"Zinc homeostasis","https://rest.uniprot.org/uniprotkb/Q6NXT4.fasta",5.5,4
"121","Q99614","TTC1",66,16,48,292,33.5,"Pf00515, Pf13181","7265","ENSG00000113312",35266966.7270484,22682413.3072572,57909061.4193482,2745257.10973404,1198390.80138149,3304296.78354594,1557130.32480066,369559.10277865,2766414.6796875,953624.646079853,1311180.0542528,138170.252828773,NA,366733.563275135,NA,3.99864740570019,1.60631167669717,4.62567688859463,1.63795298559321,5.5913977417053,1.66876423110586,6.71845263999703,NA,4.71438533265474,4.83879371922184,0,"protein metabolism;other metabolic processes","cytosol","other molecular function","B2RCT2; D3DQJ8; hsa:7265; Q99614; Q9BVT3",NA,NA,"https://rest.uniprot.org/uniprotkb/Q99614.fasta",2.7,2.7
"122","P53794",NA,4,2,6,718,79.6,NA,NA,NA,141889.704867634,NA,180880.022284748,124426.478513446,NA,NA,2248785.17068469,1510142.04021944,1191085.46875,NA,NA,101959.263881774,117656.691591979,NA,NA,0.375211743240159,NA,-3.35389254151971,1.4585899701002,0.662512410720612,NA,0.45592189881102,NA,-2.45083353485773,0.48424932892379,0,NA,NA,NA,NA,NA,NA,"https://rest.uniprot.org/uniprotkb/P53794.fasta",3.5,3.5
"123","Q9UGP8","SEC63",46,29,201,760,87.9,"Pf00226, Pf02889","11231","ENSG00000025796",24635064.1840636,48090040.3068971,34788876.7688997,26486145.8650629,30739847.5485054,33397853.3824762,51775168.5953271,50803613.6274068,64101883.21875,9939107.41299167,2929367.55089921,813860.211221493,589821.129787995,803291.217288865,65555.335369222,0.246561645276211,0.326794633885115,-0.632562482876236,1.15536193790396,2.97413789970961,1.88675651781909,6.20372922968795,2.18685831495048,0.658556540021916,0.427855419474283,0,"other metabolic processes;transport;developmental processes;other biological processes","other membranes;ER/Golgi","transporter activity;other molecular function","hsa:11231; O95380; Q5THN4; Q86VS9; Q8IWL0; Q9NTE0; Q9UGP8",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9UGP8.fasta",2.5,2.5
"124","Q8NHY0","B4GALNT2",12,6,9,566,63.2,"Pf00535","124872","ENSG00000167080",NA,855653.369095669,927203.055379078,65895.3390657372,NA,576635.871694807,2779264.34621111,1860362.02142742,5508861.5625,NA,NA,56609.2830948332,62925.7892634525,91101.1410765103,50804.6160701312,1.47235208611248,0.802513362892859,-1.92403985811152,0.753404155325298,3.97700806213412,NA,3.70664319726893,3.93960753372434,-0.462180076908228,0.0895716618092632,2,"protein metabolism;other metabolic processes;transport;other biological processes","other membranes;ER/Golgi","other molecular function","B4DZE4; hsa:124872; Q14CP1; Q86Y40; Q8NHY0","Lewis blood group biosynthesis; Asparagine N-linked glycosylation",NA,"https://rest.uniprot.org/uniprotkb/Q8NHY0.fasta",4.5,4
"125","Q9Y2H6","FNDC3A",46,42,409,1198,131.8,"Pf00041","22862","ENSG00000102531",107132592.066246,82730193.3203639,106260926.791308,185026635.906545,81628469.4132158,100815689.911008,100829337.284678,166260157.788616,73344455.3046875,14123897.3653216,14395994.178337,13302381.0927063,13389837.5004585,16600012.3522215,20609547.3862783,-0.311429576911985,0.294232761184752,-0.201174900218191,0.198003689546939,2.82385665359145,3.34784676459619,2.54900791514369,3.23451938141962,0.565611491852526,0.395095508512092,0,"cell adhesion;developmental processes;other biological processes","other membranes;cytosol;ER/Golgi;other cell component",NA,"B4DYG1; hsa:22862; Q5HYC9; Q5JVF8; Q5JVF9; Q6EVH3; Q6EVH4; Q6N020; Q6P9D5; Q6ZME4; Q9H1W1; Q9Y2H6",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9Y2H6.fasta",2.5,2.5
"126","P05556","ITGB1",38,46,806,798,88.4,"Pf00362, Pf07965, Pf07974, Pf08725, Pf17205, Pf18372","3688","ENSG00000150093",127183626.451343,112493436.498429,204897748.211894,405569923.685674,138988567.782045,224052353.275437,1033771328.15418,980563742.311952,727107607.46875,10411795.9184902,10948246.6345029,5200713.10680824,888736.745042861,434870.702276464,107237.786758821,-0.789827122223699,0.574569237577899,-2.62443719279451,2.82467536862423,4.06505811268207,2.07899668950076,8.27941476699525,2.17176002281144,-0.992454332818605,0.261979624847294,58,"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function","A8K6N2; D3DRX9; D3DRY3; D3DRY4; D3DRY5; hsa:3688; P05556; P78466; P78467; Q13089; Q13090; Q13091; Q13212; Q14622; Q14647; Q29RW2; Q7Z3V1; Q8WUM6","RAC1 GTPase cycle; RHO GTPases Activate Formins; ECM proteoglycans; Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Potential therapeutics for SARS; RHOG GTPase cycle; HCMV Early Events; RAC2 GTPase cycle; RAC3 GTPase cycle; Integrin cell surface interactions; GPER1 signaling; CHL1 interactions; Interleukin-4 and Interleukin-13 signaling; Signal transduction by L1; Syndecan interactions; Other semaphorin interactions; Laminin interactions; MET activates PTK2 signaling; Basigin interactions; Formation of the ureteric bud; Platelet Adhesion to exposed collagen; Molecules associated with elastic fibres; TGF-beta receptor signaling activates SMADs; Fibronectin matrix formation; Localization of the PINCH-ILK-PARVIN complex to focal adhesions; MET interacts with TNS proteins","Integrin-mediated cell adhesion; Prolactin signaling pathway; Neural crest differentiation; Arrhythmogenic right ventricular cardiomyopathy; Pathogenic Escherichia coli infection; Primary focal segmental glomerulosclerosis (FSGS); Mammary gland development pathway - Embryonic development (Stage 1 of 4); Focal adhesion; Hepatocyte growth factor receptor signaling; RAC1/PAK1/p38/MMP2 pathway; TGF-beta signaling pathway; Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling; VEGFA-VEGFR2 signaling; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Ebola virus infection in host; Cells and molecules involved in local acute inflammatory response ; Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms; Small cell lung cancer; Gastrin signaling pathway; Genes controlling nephrogenesis; Development of ureteric collection system; Pleural mesothelioma; CCL18 signaling pathway; GDNF signaling; TROP2 regulatory signaling; 11p11.2 copy number variation syndrome ; Macrophage-stimulating protein (MSP) signaling network map; TAR syndrome; Cell lineage map for neuronal differentiation","https://rest.uniprot.org/uniprotkb/P05556.fasta",4,4
"127","Q8TEY7","USP33",26,20,99,942,106.7,"Pf00443, Pf02148, Pf06337","23032","ENSG00000077254",16595995.2335233,14128281.8814174,27396102.5001134,22755446.0595977,5825577.15080184,15172369.9376168,10861718.4758185,11689835.6469631,9555939.1328125,517614.654662079,637252.514140016,324332.685596645,116203.960157392,311973.805174694,547668.030317631,0.409649221338218,0.306317280021963,0.856134092801005,0.98638229584384,5.29615523304935,2.00946577118316,5.89624712642562,2.02249452053482,1.56973829669572,1.72260144063456,2,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes","cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","hsa:23032; Q8TEY6; Q8TEY7; Q96AV6; Q9H9F0; Q9UPQ5","Ub-specific processing proteases; Regulation of expression of SLITs and ROBOs",NA,"https://rest.uniprot.org/uniprotkb/Q8TEY7.fasta",3,3
"128","P23229","ITGA6",13,10,20,1130,126.5,"Pf01839, Pf08441, Pf20805, Pf20806","3655","ENSG00000091409",441218.079241997,438990.346004328,166040.746124146,605814.778719794,544626.903869828,479233.863526838,6759907.33029786,6314387.76825626,3071512.5234375,134839.277082281,NA,119637.960163772,NA,136628.15381853,173693.622226245,-0.639358285152822,0.923416604909347,-3.94786122186565,1.9038497195936,1.45465545999488,0.803221089024484,1.1684271364377,0.69563811481976,-2.39475185679774,0.43915945844198,20,"cell adhesion;cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;other cell component","signal transduction activity or receptor binding;other molecular function","B2RMU9; B4DG69; B4DKB8; C4AM96; G5E9H1; hsa:3655; P23229; Q08443; Q0MRC7; Q14646; Q16508; Q53RX7; Q59HB7; Q86VL6; Q9UCT1; Q9UN03","Assembly of collagen fibrils and other multimeric structures; Integrin cell surface interactions; Syndecan interactions; Laminin interactions; Basigin interactions; Type I hemidesmosome assembly","Integrin-mediated cell adhesion; Arrhythmogenic right ventricular cardiomyopathy; Alpha 6 beta 4 signaling pathway; Mammary gland development pathway - Embryonic development (Stage 1 of 4); Focal adhesion; Regulation of apoptosis by parathyroid hormone-related protein; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; Ebola virus infection in host; Small cell lung cancer; Pleural mesothelioma; GDNF signaling; 11p11.2 copy number variation syndrome ; Cell lineage map for neuronal differentiation","https://rest.uniprot.org/uniprotkb/P23229.fasta",4,4
"129","Q9UBM7","DHCR7",13,6,28,475,54.5,"Pf01222","1717","ENSG00000172893",1249551.09375487,497988.404441192,958224.608153789,1022538.01642991,1167354.03289217,1214116.02257982,10579346.9270593,7125368.67940954,48942375.65625,63089.2263703091,65194.8168270972,NA,NA,NA,NA,-0.331198390176108,0.441597263992008,-4.62243393886934,0.728224701775135,3.81365993226448,1.2273305220834,NA,NA,-3.28190179944365,0.3472040563671,10,"other metabolic processes","other membranes;ER/Golgi;nucleus","other molecular function","B2R6Z2; hsa:1717; O60492; O60717; Q9UBM7","Activation of gene expression by SREBF (SREBP); Cholesterol biosynthesis via desmosterol; Cholesterol biosynthesis via lathosterol","Vitamin D metabolism; Cholesterol biosynthesis pathway; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Cholesterol biosynthesis with skeletal dysplasias; Cholesterol synthesis disorders; Cholesterol metabolism; Enterocyte cholesterol metabolism","https://rest.uniprot.org/uniprotkb/Q9UBM7.fasta",4.5,4
"130","Q99941","ATF6B",5,4,12,703,76.7,"Pf00170","1388","ENSG00000168468; ENSG00000213676; ENSG00000228628; ENSG00000234539",2081118.44330258,1303909.52092523,1708353.71073163,1646079.03255244,810520.848373941,1195205.94157126,1162280.15367471,592860.260109237,728449.6328125,173235.559451689,NA,47048.1434523931,NA,137986.912826543,NA,0.480013775394183,0.660222299672127,1.03619677534144,1.43193993641298,3.94622665940274,1.90689402619439,3.62105798136373,NA,1.2345530414349,1.74104816124876,6,"stress response;signal transduction;other biological processes","other membranes;cytosol;ER/Golgi;nucleus;other cell component","nucleic acid binding activity;other molecular function","B0UYX6; hsa:1388; Q13269; Q14343; Q14345; Q5SSW7; Q99635; Q99637; Q99941; Q9H3V9; Q9H3W1; Q9NPL0","ATF6B (ATF6-beta) activates chaperones","Myometrial relaxation and contraction pathways; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K-Akt signaling pathway; G1 to S cell cycle control; Hepatitis B infection","https://rest.uniprot.org/uniprotkb/Q99941.fasta",3.5,3.5
"131","Q92575","UBXN4",38,17,115,508,56.7,"Pf00789","23190","ENSG00000144224",3035891.19423766,9993086.74651757,8979273.83181063,11945509.2076255,15296386.3423278,15609676.79422,37042583.0493024,27605927.9763765,55105324.921875,372944.11873314,428941.158178383,498629.746684797,822229.785961934,1036303.6847434,610553.485827551,-0.961303592657393,1.31891940616681,-2.44395541473616,1.7559459317606,4.08088957861739,1.47473934250646,3.1559949977167,1.39716175064771,-0.918322300923155,0.260314184342837,0,"stress response","other membranes;cytosol;ER/Golgi;nucleus",NA,"A8K9W4; hsa:23190; Q4ZG56; Q8IYM5; Q92575",NA,NA,"https://rest.uniprot.org/uniprotkb/Q92575.fasta",5.5,4
"132","P98194","ATP2C1",7,5,11,919,100.5,"Pf00122, Pf00689, Pf00690, Pf13246","27032","ENSG00000017260",62956.4365704333,120715.5499938,113999.807333499,NA,47012.7446583166,68201.2754153064,4478607.76934562,3625325.16112694,3152470.359375,265490.576944419,194871.008046669,NA,52531.1198335086,NA,306567.587592935,0.784443738728592,0.715895358651057,-5.24087958822112,3.14704507400165,-1.21400742863963,1.46754341712948,-0.855620436302363,0.327300586724529,-3.77099681990784,0.557294234276325,1,"cell adhesion;cell organization and biogenesis;transport;other biological processes","plasma membrane;other membranes;ER/Golgi","transporter activity;other molecular function","B2RAT7; B4DSW3; B7Z3X9; G3XAH8; G8JLN9; hsa:27032; O76005; P98194; Q86V72; Q86V73; Q8N6V1; Q8NCJ7","Ion transport by P-type ATPases",NA,"https://rest.uniprot.org/uniprotkb/P98194.fasta",4,4
"133","Q9P0K7","RAI14",57,56,185,980,110,"Pf12796","26064","ENSG00000039560",85208962.1409464,79594404.7977659,66972760.078464,7777804.030887,2587036.01018463,3475959.91308282,6195868.66266849,4190132.5556342,7913756.25,4696072.00395629,5281400.41076169,2673601.95842343,4760885.17524563,4468019.56774329,3737425.20604227,4.06573274247224,3.68320158950034,3.66283554283145,3.68683981017069,4.195400162243,3.74653249154652,4.15988988085088,3.75947706074154,4.0046402400426,12.2906559811206,0,"other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity","E9PED3; hsa:26064; Q6V1W9; Q7Z5I4; Q7Z733; Q9P0K7; Q9P2L2; Q9Y3T5",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9P0K7.fasta",3.2,3.2
"134","Q86Y07","VRK2",35,12,28,508,58.1,"Pf00069","7444","ENSG00000028116",150996.717336767,1837898.92897904,3344281.43013467,1154952.62600578,1159597.98646707,4090980.3372552,9382410.47553772,3930914.58239355,15448508.7890625,5531.41182257836,NA,79098.8387568284,NA,289474.687920897,362903.501576927,-0.264322929107877,0.0950422203221547,-2.43108852911367,1.06322226861014,5.39271548110762,0.61772779061347,2.44625227426251,0.508587023772352,-1.01412684876743,0.247345475015615,5,"protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","other membranes;mitochondrion;ER/Golgi;nucleus;other cell component","kinase activity;other molecular function","B4DKL0; D6W5D4; D6W5D6; hsa:7444; Q49AK9; Q53EU9; Q53S39; Q53S77; Q53TU1; Q86Y07; Q86Y08; Q86Y09; Q86Y10; Q86Y11; Q86Y12; Q8IXI5; Q99987","RAC1 GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOD GTPase cycle",NA,"https://rest.uniprot.org/uniprotkb/Q86Y07.fasta",4.5,4
"135","Q13325","IFIT5",9,3,6,482,55.8,"Pf13181, Pf13374, Pf13424","24138","ENSG00000152778",NA,298062.421233492,463837.370723274,227533.683435161,271096.853902957,623292.732706626,626248.161997496,125887.909461082,1107973.9375,NA,NA,398235.825546466,NA,NA,NA,0.0266616558101575,0.0130509529494683,-0.702752279303102,0.247664212047913,-0.0640217513576314,NA,NA,NA,-0.342110016131236,0.156480513328191,1,"stress response;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","nucleic acid binding activity","B2R5X9; B4DDV1; hsa:24138; Q13325; Q5T7I9; Q6IAX3","Interferon alpha/beta signaling",NA,"https://rest.uniprot.org/uniprotkb/Q13325.fasta",4,4
"136","Q9HBM0","VEZT",25,18,135,779,88.6,"Pf12632","55591","ENSG00000028203",13375527.090085,10741564.1201028,16592904.4519863,26130015.7743902,9588009.66260482,13929968.5251983,29233606.6616479,24662404.7687114,22771911.0703125,662923.624623992,1600559.22351083,225688.889675762,NA,NA,151819.320774091,-0.286352358777277,0.222170603120635,-0.913240019374436,2.02669926941529,4.03164539164586,2.73266164315706,6.48192135464794,NA,0.0735315144933382,0.032999195642533,0,"cell adhesion","plasma membrane;other membranes;cytosol;nucleus;other cell component","cytoskeletal activity","hsa:55591; Q6P1Q3; Q9H2F4; Q9H2U5; Q9HBM0; Q9NT70; Q9NVW0; Q9UF91",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9HBM0.fasta",4,4
"137","Q9BTX1","NDC1",41,25,283,674,76.3,"Pf09531","55706","ENSG00000058804",17799044.8829703,107437786.84875,96791277.9983904,60036417.4271372,90390838.3591982,119622109.292058,123983056.636376,127154554.337851,213783131.039063,3296366.22536534,6041037.2145899,6780586.6053593,76040.0230041464,NA,126163.87355497,-0.282480816685071,0.184488084356804,-1.06624245216836,0.927317443496001,3.78399858721849,1.14088837743154,9.5157533246992,0.866420280284954,0.115840979999026,0.0453702100028135,29,"cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes","plasma membrane;other membranes;cytoskeleton;nucleus;other cell component","other molecular function","B4DHA3; B4DQQ5; G3XA81; hsa:55706; Q8NB76; Q9BTX1; Q9H9T6; Q9NSG3; Q9NSG4; Q9NVZ7","SARS-CoV-2 activates/modulates innate and adaptive immune responses; ISG15 antiviral mechanism; Transcriptional regulation by small RNAs; HCMV Early Events; HCMV Late Events; SUMOylation of chromatin organization proteins; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of Mature mRNA derived from an Intron-Containing Transcript; Rev-mediated nuclear export of HIV RNA; Transport of Ribonucleoproteins into the Host Nucleus; NS1 Mediated Effects on Host Pathways; Viral Messenger RNA Synthesis; NEP/NS2 Interacts with the Cellular Export Machinery; Regulation of Glucokinase by Glucokinase Regulatory Protein; Nuclear import of Rev protein; Vpr-mediated nuclear import of PICs; snRNP Assembly; SUMOylation of DNA damage response and repair proteins; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; Regulation of HSF1-mediated heat shock response; SUMOylation of SUMOylation proteins; SUMOylation of RNA binding proteins; SUMOylation of DNA replication proteins; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); tRNA processing in the nucleus; Postmitotic nuclear pore complex (NPC) reformation",NA,"https://rest.uniprot.org/uniprotkb/Q9BTX1.fasta",4.5,4
"138","Q6NUQ4","TMEM214",33,18,133,689,77.1,"Pf10151","54867","ENSG00000119777",13431933.9832066,25349534.2592657,20272942.1508833,18665396.5152608,21711318.3026386,21245395.9981342,38874201.2876259,31810870.4653646,53303687.625,661515.943777121,391540.306378182,1288101.67886502,88087.0213865071,NA,NA,-0.061403292344721,0.0846972306463031,-1.07009261976831,1.40018486799166,4.6567506455743,2.2616732604053,7.80393712296601,NA,0.0660418394564893,0.0275075585790731,0,"other biological processes","other membranes;cytosol;cytoskeleton;ER/Golgi",NA,"A6NNF2; B3KUI9; B5MCD8; D6W547; hsa:54867; Q53SW1; Q69YH4; Q6NUQ4; Q8NC45; Q8WZ37; Q9NXH2",NA,NA,"https://rest.uniprot.org/uniprotkb/Q6NUQ4.fasta",4.5,4
"139","P22059","OSBP",38,20,50,807,89.4,"Pf00169, Pf01237","5007","ENSG00000110048",26575436.8212673,37316662.0477386,10320797.6904159,678830.539454747,774109.56391911,NA,37780.1378248459,242778.269193623,NA,399362.737080311,695240.738424053,447253.482050687,NA,NA,28917.5323249508,5.08966028135898,1.00661665460259,7.46226246190983,1.02919770946332,5.58892908344897,1.43546459598642,9.74054725576242,NA,5.90430262359028,3.47773180215106,2,"cell organization and biogenesis;other metabolic processes;transport;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cell component","transporter activity;other molecular function","hsa:5007; P22059; Q6P524","Sphingolipid de novo biosynthesis; Synthesis of bile acids and bile salts",NA,"https://rest.uniprot.org/uniprotkb/P22059.fasta",0,0
"140","Q96S66","CLCC1",58,36,195,551,62,"Pf05934","23155","ENSG00000121940",5040606.71760183,34371385.1993965,18980158.2977265,26690786.0229831,34067782.9268098,36125433.4416424,89111072.0038908,66803904.6516221,125051143.46875,1238916.13317445,875151.870127872,1256284.89023275,734574.585552505,2545109.51099175,251725.406808163,-0.730484028211976,0.64852978467349,-2.2665498331457,1.76040341607535,4.11480287534298,1.01615446251091,4.04745840619093,1.00963252956933,-0.720082051799699,0.206786574108261,0,"transport","other membranes;ER/Golgi;nucleus;other cell component","transporter activity","hsa:23155; O94861; Q8WYP8; Q8WYP9; Q96S66; Q9BU25",NA,NA,"https://rest.uniprot.org/uniprotkb/Q96S66.fasta",4.5,4
"141","Q8NHP6","MOSPD2",39,27,143,518,59.7,"Pf00635, Pf00650","158747","ENSG00000130150",3798357.62259203,25421456.9825185,23293509.2101992,25253573.5983465,31962204.8605166,34302035.9466945,42003509.2895924,30734022.2953114,68431005.40625,74738.871839798,324790.223350212,1604958.49383535,NA,NA,NA,-0.801369085108384,0.813684390724552,-1.42666316442612,1.05839956981906,4.71137812346628,1.14801424941742,NA,NA,-0.575043608889911,0.257031104278985,2,"cell organization and biogenesis;other biological processes","plasma membrane;other membranes;ER/Golgi;other cell component","other molecular function","hsa:158747; Q8N3H2; Q8NA83; Q8NHP6","Neutrophil degranulation; RHOD GTPase cycle",NA,"https://rest.uniprot.org/uniprotkb/Q8NHP6.fasta",4.5,4
"142","O14975","SLC27A2",10,5,10,620,70.3,"Pf00501, Pf13193","11001","ENSG00000140284",153294.867384906,330718.383379317,127810.376504013,524633.538780956,372181.039793113,658153.335286047,4158976.49034859,3339071.55118812,5396168.0625,53804.7413225153,62103.3052203453,NA,55829.2448492067,NA,74177.7109282289,-1.34569708446935,1.40353959956756,-4.39746443616035,2.61417311665905,1.81517259664758,0.757640342225667,1.64956450692467,0.718026739638296,-2.84910985431834,0.500159471605917,8,"other metabolic processes;transport","plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle","transporter activity;other molecular function","A8K2J7; hsa:11001; O14975; Q53FY6; Q6PF09","Peroxisomal protein import; Neutrophil degranulation; Fatty acyl-CoA biosynthesis; Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol; Alpha-oxidation of phytanate; Synthesis of bile acids and bile salts via 24-hydroxycholesterol","PPAR signaling pathway; Fatty acids and lipoproteins transport in hepatocytes","https://rest.uniprot.org/uniprotkb/O14975.fasta",4,4
"143","Q5T7V8",NA,8,2,2,394,45,NA,NA,NA,NA,504590.88964641,206656.614910644,NA,NA,NA,492048.962909446,NA,2078595.75,NA,NA,235635.067993891,NA,NA,NA,NA,NA,-1.85370663924821,0.433580647184654,0.593797423852466,NA,NA,NA,-1.39527275865198,0.303625080290087,0,NA,NA,NA,NA,NA,NA,"https://rest.uniprot.org/uniprotkb/Q5T7V8.fasta",5.5,4
"144","Q9NQC3","RTN4",18,15,218,1192,129.9,"Pf02453","57142","ENSG00000115310",27392078.9868914,86440744.9758256,100703965.898598,57151497.5206494,59339275.2469432,82073106.8726529,98007271.9608992,52212665.2479681,141707141.449219,2076252.95700335,2067704.07757549,4603456.5567315,631372.794631541,510624.74232583,459183.773791639,0.111621860680463,0.0788149797080235,-0.444382969346379,0.307231617745785,4.61622475110046,1.42183843954982,7.06594457784456,1.46737637595065,0.776876567760296,0.46967356045464,7,"cell adhesion;cell organization and biogenesis;stress response;developmental processes;other biological processes","plasma membrane;other membranes;ER/Golgi;nucleus;other cell component","other molecular function","O94962; Q7L7Q5; Q7L7Q6; Q7L7Q8; Q8IUA4; Q96B16; Q9BXG5; Q9H212; Q9H3I3; Q9NQC3; Q9UQ42; Q9Y293; Q9Y2Y7; Q9Y5U6","Axonal growth inhibition (RHOA activation)","Alzheimer's disease and miRNA effects; Spinal cord injury; 22q11.2 copy number variation syndrome; Alzheimer's disease; Neurogenesis regulation in the olfactory epithelium; 13q12.12 copy number variation","https://rest.uniprot.org/uniprotkb/Q9NQC3.fasta",2.5,2.5
